soc2_control_id,tsc_domain,area,iso_control_id,aws_mechanism_type,aws_mechanism,primary_evidence_source,evidence_location,shows_in_rag,shows_in_streamlit,notes
CC6.1,Security (CC),Logical Access,A.9.2.3,Security Hub FSBP,FSBP IAM.1 – Avoid use of root account,Audit Manager SOC2 assessment + Security Hub findings,"S3://$FAFO_EVIDENCE_BUCKET/weekly/, Audit Manager",TRUE,TRUE,"Ties logical access governance to AWS root account controls"
CC6.2,Security (CC),Logical Access,A.9.2.1,AWS Config Rule,IAM_USER_NO_POLICIES_CHECK,Audit Manager evidence + Config snapshots,"S3://$FAFO_EVIDENCE_BUCKET/config/, weekly/",TRUE,TRUE,"Ensures IAM users aren’t directly attached policies"
CC6.3,Security (CC),Logical Access,A.9.4.2,SCP,Service Control Policy – DenyConsoleLoginWithoutMFA,Audit Manager + org SCP JSON in S3,"S3://$FAFO_EVIDENCE_BUCKET/policies/scp/",TRUE,TRUE,"MFA requirement for console users"
CC6.4,Security (CC),Logical Access,A.9.1.1,Security Hub FSBP,FSBP IAM.5 – IAM policies should not allow full * access,Weekly report + Security Hub findings,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Validates least privilege"
CC6.5,Security (CC),Logical Access,A.9.4.1,AWS Config Rule,ROOT_ACCOUNT_MFA_ENABLED,Audit Manager + Config history,"S3://$FAFO_EVIDENCE_BUCKET/config/",TRUE,TRUE,"Verifies MFA on root"
CC6.6,Security (CC),Logical Access,A.9.2.6,CloudTrail + Config,Trail on IAM changes + CONFIG_RULE IAM_USER_UNUSED_CREDENTIALS_CHECK,CloudTrail + weekly report,"S3://$FAFO_EVIDENCE_BUCKET/weekly/, CloudTrail bucket",TRUE,TRUE,"Joiner/mover/leaver activity logging"
CC6.7,Security (CC),Logical Access,A.9.2.4,AWS Config Rule,ACCESS_KEYS_ROTATED,Config snapshots + weekly report,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Access key lifecycle enforcement"
CC6.8,Security (CC),Logical Access,A.9.2.5,Security Hub FSBP,FSBP IAM.2 – IAM users should not have IAM administrative privileges,Security Hub + weekly report,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Privileged access governance"
CC7.1,Security (CC),Change Management,A.12.1.2,GitLab CI (SAST/DAST),GitLab pipelines + merge request approvals,GitLab pipeline logs + SAST/DAST reports,"GitLab project, S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Change control via CI/CD gated by scans"
CC7.2,Security (CC),Change Management,A.12.1.3,CloudTrail + Config,CloudTrail on CloudFormation/Config changes,Audit Manager + CloudTrail,"S3://$FAFO_EVIDENCE_BUCKET/weekly/",TRUE,TRUE,"Infra changes tracked as code"
